module	address	old_name	new_name	file	line	basis	text
ov002	0x020b6e08	_ZN18PoppingLavaBubblesD1Ev	_ZN16daObjWaterfall_cD1Ev	port/slice_dtorfaces.txt	15	P	src/_ZN18PoppingLavaBubblesD1Ev.cpp
ov002	0x020b6e2c	_ZN18PoppingLavaBubblesD0Ev	_ZN16daObjWaterfall_cD0Ev	port/CMakeLists.txt	9605	P	"""${CMAKE_CURRENT_SOURCE_DIR}/../src/_ZN18PoppingLavaBubblesD0Ev.c"""
ov002	0x020b6e2c	_ZN18PoppingLavaBubblesD0Ev	_ZN16daObjWaterfall_cD0Ev	port/hal/actor_classes.cpp	1779	U	int *_ZN18PoppingLavaBubblesD0Ev(int *self);     /* slot 17, gate 207 */
ov002	0x020b6e2c	_ZN18PoppingLavaBubblesD0Ev	_ZN16daObjWaterfall_cD0Ev	port/hal/actor_classes.cpp	1792	U	{ return (int)(size_t)_ZN18PoppingLavaBubblesD0Ev((int *)s); }
ov002	0x020b6e2c	_ZN18PoppingLavaBubblesD0Ev	_ZN16daObjWaterfall_cD0Ev	port/hal/actor_classes.cpp	1810	U	_ZN18PoppingLavaBubblesD0Ev, not WaterfallMist's. */
ov002	0x020b6e2c	_ZN18PoppingLavaBubblesD0Ev	_ZN16daObjWaterfall_cD0Ev	port/ov002_frontier.txt	175	P	src/_ZN18PoppingLavaBubblesD0Ev.c    VT=_ZTV18PoppingLavaBubbles
ov002	0x020b6e2c	_ZN18PoppingLavaBubblesD0Ev	_ZN16daObjWaterfall_cD0Ev	port/slice_gate207.txt	106	P	src/_ZN18PoppingLavaBubblesD0Ev.c
ov002	0x020b6eac	_ZN18PoppingLavaBubbles13InitResourcesEv	_ZN16daObjWaterfall_c13InitResourcesEv	port/faces_adjudicated.txt	122	U	_ZN18PoppingLavaBubbles13InitResourcesEv                       FORWARDS    hal/method_faces.cpp:830 -- one statement calling PoppingLavaBubbles::InitResources
ov002	0x020b6eac	_ZN18PoppingLavaBubbles13InitResourcesEv	_ZN16daObjWaterfall_c13InitResourcesEv	port/hal/actor_classes.cpp	1777	U	int _ZN18PoppingLavaBubbles13InitResourcesEv(void *self);   /* face */
ov002	0x020b6eac	_ZN18PoppingLavaBubbles13InitResourcesEv	_ZN16daObjWaterfall_c13InitResourcesEv	port/hal/actor_classes.cpp	1784	U	{ return _ZN18PoppingLavaBubbles13InitResourcesEv(s); }
ov002	0x020b6eac	_ZN18PoppingLavaBubbles13InitResourcesEv	_ZN16daObjWaterfall_c13InitResourcesEv	port/hal/method_faces.cpp	830	U	int _ZN18PoppingLavaBubbles13InitResourcesEv(void *self)
ov002	0x020b6eac	_ZN18PoppingLavaBubbles13InitResourcesEv	_ZN16daObjWaterfall_c13InitResourcesEv	port/slice_gate20.txt	64	P	src/_ZN18PoppingLavaBubbles13InitResourcesEv.cpp
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/CMakeLists.txt	9606	U	"PROPERTIES COMPILE_DEFINITIONS ""VT=_ZTV18PoppingLavaBubbles"")"
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/hal/actor_classes.cpp	1699	U	//   WaterfallMist_Spawn -> _ZTV18PoppingLavaBubbles  RTTI 16daObjWaterfall_c
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/hal/actor_classes.cpp	1760	A	// _ZTV18PoppingLavaBubbles, ov002 0x021094a0. The moat's waterfall spray, and
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/hal/actor_classes.cpp	1780	U	void *_ZTV18PoppingLavaBubbles[31];
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/hal/actor_classes.cpp	1796	U	void **vt = _ZTV18PoppingLavaBubbles;
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/hal/actor_classes.cpp	1804	U	WaterfallMist_Spawn installs is _ZTV18PoppingLavaBubbles, and that
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/hal/actor_classes_bob_world.cpp	989	U	// installs _ZTV18PoppingLavaBubbles, whose RTTI is 16daObjWaterfall_c; the
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/hal/actor_classes_ov070.cpp	676	H	the sentence is 'NOT the class at _ZTV18PoppingLavaBubbles', i.e. the table at the renamed address; 0x021093e0 named beside it is the UNNAMED table it contrasts with
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/ov002_frontier.txt	175	U	src/_ZN18PoppingLavaBubblesD0Ev.c    VT=_ZTV18PoppingLavaBubbles
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/slice_gate20.txt	16	A	#   WaterfallMist_Spawn 0x020b6ee8 -> _ZTV18PoppingLavaBubbles = 0x021094a0,
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/slice_gate207.txt	18	U	#   _ZTV18PoppingLavaBubbles   0x020b6e08  0x020b6e08  0x020b6e2c  0x020b6e2c
ov002	0x021094a0	_ZTV18PoppingLavaBubbles	_ZTV16daObjWaterfall_c	port/slice_gate33.txt	204	U	# WATERFALL_MIST (197) installs _ZTV18PoppingLavaBubbles, RTTI daObjWaterfall_c.
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/ov006_player_map.txt	31	A	_ZN6Player12St_Null_InitEv            0x020cac30  size 0x8
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/ov006_player_map.txt	51	A	_ZN6Player12St_Null_InitEv                   0x020cac30  0x6c
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/ov006_player_map.txt	69	P	A fourth, src/_ZN6Player12St_Null_InitEv.cpp, reads data_ov006_021405bc
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/ov006_player_map.txt	122	A	_ZN6Player12St_Null_InitEv size 0x6c. Different sizes, different
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/ov006_player_map.txt	260	P	src/_ZN6Player12St_Null_InitEv.cpp,
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/slice_tte.txt	509	P	src/_ZN6Player12St_Null_InitEv.cpp
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/slice_w1l5.txt	172	A	#       _ZN6Player12St_Null_InitEv         ov006's 0x020cac30; same shape.
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/unmatched/MgTrampolineTerror_Faces.cpp	172	U	void _ZN6Player12St_Null_InitEv(void);
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/unmatched/MgTrampolineTerror_Faces.cpp	185	P	body src/_ZN6Player12St_Null_InitEv.cpp takes `(void)` -- it walks
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/unmatched/MgTrampolineTerror_Faces.cpp	192	U	void Player::St_Null_Init() { _ZN6Player12St_Null_InitEv(); }
ov006	0x020cac30	_ZN6Player12St_Null_InitEv	func_ov006_020cac30	port/unmatched/MgTrampolineTerror_SubDispatch.cpp	35	U	*       _ZN6Player12St_Null_InitEv
ov006	0x020d6084	_ZN6Player23St_InYoshiMouth_CleanupEv	func_ov006_020d6084	port/ov006_player_map.txt	32	A	_ZN6Player23St_InYoshiMouth_CleanupEv 0x020d6084  size 0x34
ov006	0x020d6084	_ZN6Player23St_InYoshiMouth_CleanupEv	func_ov006_020d6084	port/ov006_player_map.txt	52	A	_ZN6Player23St_InYoshiMouth_CleanupEv        0x020d6084  0x14
ov006	0x020d6084	_ZN6Player23St_InYoshiMouth_CleanupEv	func_ov006_020d6084	port/ov006_player_map.txt	60	P	src/_ZN6Player23St_InYoshiMouth_CleanupEv.cpp -- writes this+0x62ad
ov006	0x020d6084	_ZN6Player23St_InYoshiMouth_CleanupEv	func_ov006_020d6084	port/ov006_player_map.txt	261	P	src/_ZN6Player23St_InYoshiMouth_CleanupEv.cpp and
ov006	0x020d6084	_ZN6Player23St_InYoshiMouth_CleanupEv	func_ov006_020d6084	port/slice_sos.txt	160	P	src/_ZN6Player23St_InYoshiMouth_CleanupEv.cpp
ov006	0x020d6084	_ZN6Player23St_InYoshiMouth_CleanupEv	func_ov006_020d6084	port/slice_w1l5.txt	170	A	#       _ZN6Player23St_InYoshiMouth_CleanupEv  ov006's 0x020d6084; the .inc
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/ov006_minigame_scout.txt	199	A	base that body wore the name _ZN6Player16St_WallJump_InitEv. On main it
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/ov006_player_map.txt	33	A	_ZN6Player16St_WallJump_InitEv        0x020e17f8  size 0xb0
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/ov006_player_map.txt	53	A	_ZN6Player16St_WallJump_InitEv               0x020e17f8  0x5c
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/ov006_player_map.txt	63	P	src/_ZN6Player16St_WallJump_InitEv.cpp -- reads this+0x4eb0/0x4eb4/
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/ov006_player_map.txt	262	P	src/_ZN6Player16St_WallJump_InitEv.cpp, and the func_ov006_* stems
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/slice_mg1.txt	171	P	src/_ZN6Player16St_WallJump_InitEv.cpp
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/slice_w1l5.txt	207	U	#       _ZN6Player16St_WallJump_InitEv   ov004 020afdd0, ov006 data 0213c2e4
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/unmatched/MgCurling_State_020e1854.cpp	91	A	// 2. The immediate neighbour, `_ZN6Player16St_WallJump_InitEv` at 0x020e17f8,
ov006	0x020e17f8	_ZN6Player16St_WallJump_InitEv	func_ov006_020e17f8	port/unmatched/MgCurling_State_020e1854.cpp	98	A	//    src/_ZN6Player16St_WallJump_InitEv.cpp reads this+0x4eb0, +0x4eb4 and
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/hal/cxx_aliases.cpp	1081	A	`_ZN6Player7ST_WAITE kind:function(arm,size=0x68) addr:0x02110154` -- that
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/hal/cxx_aliases.cpp	1085	A	src/_ZN6Player7ST_WAITE.cpp is a real matched TU of ov006's FUNCTION, and it
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/hal/scene_mg.cpp	2654	A	// src/_ZN6Player7ST_WAITE.cpp. Both are real, matched ov006 bodies at those
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/ov006_player_map.txt	54	A	_ZN6Player7ST_WAITE                          0x02110154  0x68
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/ov034_syms.txt	157	A	#   src/_ZN6Player7ST_WAITE.cpp  (OV006 0x02110154, size 0x68, so its body is
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/slice_smb.txt	235	A	# 0x02111144 START_INTRO_MINIMAP_ZOOM and 0x02110154 _ZN6Player7ST_WAITE, and
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/slice_smb.txt	253	A	# src/_ZN6Player7ST_WAITE.cpp (0x02110154, cMgSmartball_slot_c's RestoreInitial
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/unmatched/MgSmartball_SlotRestore.cpp	12	A	* gives 0x02110154 the file src/_ZN6Player7ST_WAITE.cpp; the decomp's main has
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/unmatched/MgSmartball_SlotRestore.cpp	35	P	*     src/_ZN6Player7ST_WAITE.cpp:3      void data_ov034_02114738(void);
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/unmatched/MgSmartball_SlotRestore.cpp	36	P	*     src/_ZN6Player7ST_WAITE.cpp:15     data_ov034_02114738();
ov006	0x02110154	_ZN6Player7ST_WAITE	_ZN19cMgSmartball_slot_c14RestoreInitialEv	port/unmatched/MgSmartball_SlotRestore.cpp	48	P	* src/_ZN6Player7ST_WAITE.cpp is off port/slice_smb.txt so the link has one
